L;phi;Fobj_dens_liq;Fobj_dens_vap;Fobj_P;Tc;Pc;rhoc
3.42857142857e-10;1.51428571429;0.530666792729;0.570556242532;0.07925765707660001;516.107254938;7.9820189833200015;7279.90025179
3.42857142857e-10;1.71632653061;0.45452304067;0.570070815251;0.060155634124;516.569338446;8.110918298460001;7352.16928143
3.42857142857e-10;1.91836734694;0.38157071557800004;0.579096671872;0.0443653525005;517.0985238659999;8.24683637538;7429.25624637
3.42857142857e-10;2.12040816327;0.315444192707;0.5967345760230001;0.0316134870175;517.674863894;8.38723413917;7511.16114662
3.42857142857e-10;2.3224489795900003;0.260575350921;0.622515578733;0.0216011588515;518.324487276;8.535598719680001;7596.27800374
3.42857142857e-10;2.52448979592;0.222171552529;0.656305431982;0.0140067860993;519.053789612;8.69292048236;7700.6666021
3.42857142857e-10;2.7265306122400004;0.20600982295899997;0.6981367446819999;0.00849113044988;519.865213681;8.85966852212;7760.08780425
3.42857142857e-10;2.92857142857;0.217890350256;0.7481824899869999;0.00470537832563;520.729592421;9.03190511807;7886.96010072
3.42857142857e-10;3.1306122449;0.262698032376;0.806623131965;0.00230264571715;521.711898714;9.218847285739999;7991.34869908
3.42857142857e-10;3.33265306122;0.343187821265;0.873388454465;0.0009524402132010002;522.7575189219999;9.41294967061;8110.19110336
3.42857142857e-10;3.53469387755;0.458894435183;0.948157034985;0.000356051046027;523.926582979;9.62312955742;8224.21557234
3.42857142857e-10;3.73673469388;0.605758198025;1.03016344789;0.000259769838327;525.166301054;9.8418819967;8330.21014914
3.42857142857e-10;3.9387755101999997;0.776862013481;1.11841350657;0.00046262157789599996;526.502007681;10.0731467615;8466.71831622
3.42857142857e-10;4.14081632653;0.964039858172;1.21154579701;0.0008168585612939999;527.968522811;10.3226982557;8563.077022399999
3.42857142857e-10;4.34285714286;1.1595702745799998;1.30836504274;0.0012219813203800001;529.4866361669999;10.5785274599;8714.03899542
3.42857142857e-10;4.54489795918;1.35726059798;1.4076005472;0.00161509635196;531.086466118;10.845515743900002;8829.66944283
3.42857142857e-10;4.74693877551;1.55275191766;1.5082663588;0.0019606332706199998;532.78333889;11.1264907892;8954.93576086
3.42857142857e-10;4.948979591840001;1.74331131475;1.6094529844499998;0.00224146320475;534.545372331;11.416594531600001;9051.29446704
3.42857142857e-10;5.15102040816;1.92744265493;1.71060047249;0.00245218598681;536.349547785;11.7121558467;9178.16676351
3.42857142857e-10;5.35306122449;2.10448356171;1.81117641657;0.00259445332442;538.197586043;12.0136070304;9272.91949125
3.42857142857e-10;5.5551020408200005;2.27428280248;1.91082362132;0.00267145718266;540.121789549;12.3268642167;9361.24830525
3.42857142857e-10;5.75714285714;2.4370231383200003;2.00930228021;0.00269683791847;542.025179584;12.635085908299999;9439.94124863
3.42857142857e-10;5.95918367347;2.5930247207700003;2.10640686096;0.00267543571115;543.967489459;12.948907148599998;9515.42223513
3e-10;0.1;0.813927841076;2.31412148221;0.5987707171459999;517.613547064;7.12066627077;5592.01691523
3e-10;0.1;0.813927841076;2.31412148221;0.5987707171459999;517.613547064;7.12066627077;5592.01691523
3e-10;0.1;0.813927841076;2.31412148221;0.5987707171459999;517.613547064;7.12066627077;5592.01691523
3e-10;0.1;0.813927841076;2.31412148221;0.5987707171459999;517.613547064;7.12066627077;5592.01691523
3e-10;0.302040816327;0.818071313674;2.05683434438;0.527707265059;516.788547328;7.13399512435;5654.65007425
