Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
rho(mol/m3);S_A;S_F
27632.5133966;-0.000127392;-0.013342072
27697.0753438;-0.00012754;-0.013356869
27761.637291;-0.00012769;-0.013371647
27826.1992382;-0.000127841;-0.013386405
27890.7611854;-0.000127993;-0.013401144
27955.3231325;-0.000128148;-0.013415864
28019.8850797;-0.000128304;-0.013430564
28084.4470269;-0.000128462;-0.013445246
28149.0089741;-0.000128622;-0.013459908
28213.5709213;-0.000128783;-0.013474552
28278.1328685;-0.000128947;-0.013489176
28342.6948157;-0.000129113;-0.013503782
28407.2567629;-0.000129281;-0.013518369
28471.8187101;-0.000129451;-0.013532937
28536.3806572;-0.000129623;-0.013547487
28600.9426044;-0.000129798;-0.013562018
28665.5045516;-0.000129975;-0.013576531
28730.0664988;-0.000130155;-0.013591026
28794.628446;-0.000130338;-0.013605502
28859.1903932;-0.000130523;-0.01361996
28923.7523404;-0.000130711;-0.0136344
28988.3142876;-0.000130902;-0.013648822
29052.8762347;-0.000131096;-0.013663226
29117.4381819;-0.000131293;-0.013677612
29182.0001291;-0.000131494;-0.013691981
29246.5620763;-0.000131698;-0.013706331
29311.1240235;-0.000131906;-0.013720664
29375.6859707;-0.000132118;-0.013734979
29440.2479179;-0.000132334;-0.013749277
29504.8098651;-0.000132554;-0.013763557
29569.3718123;-0.000132778;-0.01377782
29633.9337594;-0.000133007;-0.013792066
29698.4957066;-0.000133241;-0.013806294
29763.0576538;-0.000133479;-0.013820505
29827.619601;-0.000133724;-0.0138347
29892.1815482;-0.000133974;-0.013848877
29956.7434954;-0.000134229;-0.013863037
30021.3054426;-0.000134492;-0.01387718
30085.8673898;-0.000134761;-0.013891306
30150.4293369;-0.000135036;-0.013905416
30214.9912841;-0.00013532;-0.013919509
30279.5532313;-0.000135611;-0.013933586
30344.1151785;-0.000135912;-0.013947646
30408.6771257;-0.000136221;-0.013961689
30473.2390729;-0.00013654;-0.013975716
30537.8010201;-0.000136869;-0.013989727
30602.3629673;-0.00013721;-0.014003721
30666.9249145;-0.000137563;-0.0140177
30731.4868616;-0.000137929;-0.014031662
30796.0488088;-0.00013831;-0.014045608
30860.610756;-0.000138706;-0.014059538
30925.1727032;-0.000139119;-0.014073452
30989.7346504;-0.000139551;-0.014087351
31054.2965976;-0.000140004;-0.014101233
31118.8585448;-0.000140479;-0.0141151
31183.420492;-0.00014098;-0.014128951
31247.9824392;-0.00014151;-0.014142786
31312.5443863;-0.000142072;-0.014156606
31377.1063335;-0.000142671;-0.014170411
31441.6682807;-0.000143313;-0.0141842
31506.2302279;-0.000144004;-0.014197973
31570.7921751;-0.000144752;-0.014211732
31635.3541223;-0.000145569;-0.014225475
31699.9160695;-0.00014647;-0.014239203
31764.4780167;-0.000147473;-0.014252899
31829.0399638;-0.000148607;-0.014266598
31893.601911;-0.000149912;-0.014280281
31958.1638582;-0.000151451;-0.01429395
32022.7258054;-0.000153328;-0.014307604
32087.2877526;-0.000155741;-0.014321227
32151.8496998;-0.000159131;-0.014334854
32216.411647;-0.000164909;-0.014348416
