Methanol;Methanol;
2.69193875292744E-10;8.3661136472;
2.69157245111783E-10;8.3726067237;
2.69148324703827E-10;8.3722082893;
2.69168928623572E-10;8.3716796843;
2.69335588693889E-10;8.375646017;
2.69433067475347E-10;8.3721922403;
2.69478745870997E-10;8.371513564;
2.69071287897919E-10;8.3708263452;
2.69152997795547E-10;8.3726268883;
2.68942543131169E-10;8.3731918947;
2.69069189171308E-10;8.3710884765;
2.69268842735249E-10;8.3731347883;
2.69230352164448E-10;8.3766780744;
2.6909514021125E-10;8.373442221;
2.69443561868609E-10;8.3776556599;
2.6931924187953E-10;8.3752769608;
2.69349213759981E-10;8.3745516014;
2.69323426013647E-10;8.3741354593;
2.69221531165609E-10;8.3754774596;
2.69006465358315E-10;8.3741930688;
2.69268367975057E-10;8.3739577883;
2.69292057076155E-10;8.3757826083;
2.69271365894758E-10;8.378912967;
2.69166474708495E-10;8.3769201693;
2.69359884537932E-10;8.3779673879;
2.69231366113043E-10;8.3768899907;
2.6921767264611E-10;8.3777346367;
2.69374130656906E-10;8.3778160149;
2.69256927965678E-10;8.377710133;
2.6908951019546E-10;8.3757914885;
2.69334995125405E-10;8.3777138563;
2.69283441378885E-10;8.3797487478;
2.69291872759914E-10;8.3800304132;
2.69211359316331E-10;8.3805217761;
2.69275213861016E-10;8.3782376102;
2.6922055143474E-10;8.3784181409;
2.69189917624738E-10;8.3803347443;
2.69343512476517E-10;8.3801585947;
2.69286183182334E-10;8.3789805877;
2.6927843240445E-10;8.379185074;
2.69344633800851E-10;8.3804406925;
5.29896491743402E-10;8.8439707822;
4.96450176547006E-10;8.1911052832;
4.71167898370189E-10;8.474551663;
4.86240965825953E-10;8.5264335275;
5.52056345139779E-10;8.6389933552;
5.9657031271248E-10;8.3559593766;
5.57708125854965E-10;9.5895926724;
5.34782576780693E-10;8.382113415;
6.04079375876836E-10;8.7348173157;
4.67962034405106E-10;8.472055697;
5.14643602301858E-10;8.4093283411;
4.94126278649686E-10;8.1904010768;
5.15316197785246E-10;8.0060838208;
4.9464173991524E-10;7.5162505979;
4.4003243266984E-10;8.3285852337;
5.28915171238834E-10;7.5316839019;
5.03486829109467E-10;9.4370941036;
4.28054775971054E-10;8.2302931842;
5.79417794128763E-10;7.8294486858;
4.93760690333401E-10;8.224655463;
4.95841326870465E-10;8.1301133443;
4.93019957852232E-10;7.7198873848;
5.33677568232999E-10;7.4605774556;
4.98842126959883E-10;7.0111591331;
4.26294057428688E-10;7.8279221987;
4.91396487160591E-10;7.1054082381;
4.71872680427259E-10;8.273984188;
3.98604942457449E-10;8.0516515327;
5.36420218097027E-10;7.0747600221;
5.07114806730475E-10;7.681553657;
4.87122523259778E-10;7.0364195254;
4.95175590182328E-10;6.9618816864;
5.25004575393433E-10;6.9253849042;
5.00942320482204E-10;6.7586134007;
4.28730762179193E-10;7.1220934012;
4.76786856713976E-10;6.8017307223;
4.77447330661246E-10;7.183932042;
