 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           n-Decane(Lit) 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P
591.809550004;501.033587373;2818.5111561;1.40660271
592.968288789;515.372211016;2795.90834808;1.431582468
594.108556857;530.288714576;2773.41011819;1.456730265
595.230117559;545.607124035;2750.67018252;1.481803397
596.332649088;561.419219758;2727.80378448;1.506862833
597.41584137;577.748687107;2704.81090656;1.531893002
598.47937248;594.625415435;2681.69174294;1.556877709
599.522905644;612.077644065;2658.44681473;1.581800059
600.546090229;630.139550066;2635.07699602;1.606642422
601.548558952;648.843630473;2611.58365361;1.631386343
602.529928964;668.227750251;2587.96870979;1.656012513
603.489799444;688.330670687;2564.2348037;1.680500641
604.42775151;709.192142947;2540.38545011;1.704829379
605.343348164;730.853373019;2516.42525177;1.728976226
606.236134103;753.355632066;2492.35998653;1.7529174
607.10563628;776.738545521;2468.19685526;1.776627705
607.951365435;801.037965729;2443.94469429;1.800080397
608.772818799;826.283360875;2419.61416883;1.823247042
609.569484203;852.494314206;2395.21794016;1.846097387
610.340846016;879.673090201;2370.7709196;1.868599248
611.086394931;907.805045943;2346.28994246;1.890718499
611.805637379;936.847591407;2321.79359149;1.912419073
612.498110379;966.731662483;2297.30176028;1.933663169
613.163395428;997.35443858;2272.83500908;1.95441154
613.801135714;1028.5846738;2248.41376746;1.974624048
614.41105026;1060.26751764;2224.05724645;1.994260331
614.992945125;1092.23229128;2199.78199449;2.013280596
615.546719976;1124.30530056;2175.60108646;2.031646476
616.072367869;1156.32188915;2151.52335037;2.049321812
616.5699686;1188.13661405;2127.5528983;2.066273264
617.039676742;1219.63011798;2103.68906685;2.082470714
617.481706216;1250.71266528;2079.92665063;2.097887432
617.896313209;1281.32322156;2056.25568092;2.112500018
618.283779439;1311.4268213;2032.66194478;2.12628819
618.644397001;1341.01112936;2009.1272155;2.139234455
618.978455044;1370.0838882;1985.62927489;2.151323721
619.286227737;1398.66588801;1962.14170831;2.162542844
619.567965647;1426.79263089;1938.63314606;2.172880239
619.823885905;1454.50875145;1915.06594195;2.182325391
620.0541645;1481.87271746;1891.39370555;2.190868431
620.258924994;1508.95285184;1867.5582695;2.198499564
620.438227703;1535.84567451;1843.48012365;2.20520852
620.592044927;1562.67288517;1819.04226858;2.210983486
620.720229619;1589.6445616;1794.04888467;2.215809803
620.822431781;1617.15119241;1768.0997308;2.219666711
620.89790605;1693.22026308;1693.22026308;2.222519631
